epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr
1,1.2424515190706789,0.8519603960396039,4.762297876254166,0.13251485148514852,0.3621386138613861,9.755282581475769e-05
2,1.073970804149955,0.9075643564356436,4.601142141540452,0.159009900990099,0.5851485148514851,9.045084971874737e-05
3,0.9855679682143057,0.9358811881188119,4.331085745773693,0.22641584158415842,0.6726732673267327,7.938926261462366e-05
4,0.9292455973798293,0.9552343234323433,4.190076388935052,0.25766336633663367,0.693069306930693,6.545084971874737e-05
5,0.8839668556943585,0.9693201320132013,4.058180046563101,0.29108910891089107,0.7268118811881188,4.9999999999999996e-05
6,0.8491815107978217,0.9796831683168317,4.1155835711649145,0.2978217821782178,0.6883168316831683,3.454915028125263e-05
7,0.8304474367119692,0.9853201320132013,3.7650580268331093,0.35465346534653464,0.7181782178217821,2.0610737385376345e-05
8,0.8184082417881529,0.9892409240924093,3.9585775091057958,0.32562376237623764,0.6844356435643565,9.549150281252631e-06
9,0.8163100794423925,0.9898481848184818,3.5080291049504044,0.40649504950495047,0.7308118811881188,2.447174185242323e-06
10,0.8441477172555704,0.9809240924092409,3.009570825515407,0.4986138613861386,0.7644752475247525,0.0
